1,1,Applied Mathematics,MATH,241,L,Calculus I,4,1,"This course introduces the differential and integral calculus of algebraic, trigonometric, exponential, and logarithmic functions on the real line. Limits, continuity, the mean value theorem, and the Fundamental Theorem of Calculus are considered as well as applications using these ideas. Appropriate technology will be selected by the instructor. This course is offered every semester. Prerequisite: Three years of high school mathematics including trigonometry or MATH 120",1
,,Applied Mathematics,MATH,242,L,Calculus II,4,1,"This course discusses applications of the definite integral as well as techniques of integration. Sequences and series, Taylor’s theorem, and polar notation are considered. Appropriate technology will be selected by the instructor. This course is offered every semester. Prerequisite: MATH 241",
,,Applied Mathematics,MATH,343,L,Calculus III,4,1,"This course introduces multivariate calculus. Topics covered include: vector geometry, functions of several variables, partial derivatives, and multiple integration. As time permits, line and surface integrals, Green’s and Stoke’s theorems with related topics and their applications, as well as differential equations may be covered. Appropriate technology will be selected by the instructor. Offered every semester.",
,,Applied Mathematics,MATH,210,L,Linear Algebra,3,1,"This course introduces the theory of vector spaces and linear transformations as abstract systems. Matrices, matrix operations, and determinants are introduced and they are used to study systems of linear equations, characteristic value problems, and various applications. Appropriate technology will be selected by the instructor. This course is offered every semester. Corequisite: MATH 241 or permission of the instructor",
,,Applied Mathematics,MATH,310,L,Introduction to Mathematical Reasoning,3,1,"This course focuses on developing the habits of thought and careful exposition that are essential for successful study of mathematics at the junior/senior level. Fundamental proof methods including proof by contradiction, by induction, and through case analysis are studied in the context of elementary set and function theory, number theory, and binary relations. This course is offered every semester. Prerequisite: MATH 242",
,0,Applied Mathematics,MATH,321,L,Differential Equations,3,1,"Solutions to linear and non-linear differential equations are generated by use of integration techniques, series, and transform methods. Numerical methods for generating approximate solutions and geometric methods for the qualitative study of dynamical systems are also considered. Offered at least biennially in the spring. Prerequisites: MATH 210 and MATH 343, or permission of the instructor",
,,Applied Mathematics,MATH,330,L,Probability and Statistics,3,1,This course is an introduction to probability as a basis for the theory of statistics. The topics covered include sample spaces; conditional probability and independence; discrete and continuous distribution functions; random variables; and joint and marginal probability distributions. Offered at least biennially in the fall. Prerequisite: MATH 343,
,,Applied Mathematics,MATH,420,L,Mathematical Analysis I,3,1,"This course undertakes a rigorous study of the topology of real numbers and more general spaces, taking a unified approach to sequences and series and continuity. It may also include sequences of functions, differentiation, and the Fundamental Theorem of Calculus. Offered at least biennially in the fall. Prerequisites: MATH 210, MATH 310, MATH 343",
,,Applied Mathematics,MATH,422,L,Applied Mathematics,3,1,"This course considers advanced techniques in the analysis and applications of systems of ordinary differential equations. Topics may include Laplace transforms, Hamiltonian and Lyapunov stability, and bifurcations. The roles that matrices and complex variables play in modeling will be discussed. MATH 422 is offered at least biennially in the fall. Prerequisite: MATH 321",
,,Applied Mathematics,MATH,477,L,Math Capping Course,3,1,TBA,
,,Applied Mathematics,CMPT,120,L,Introduction to Programming,4,1,"This course introduces students to problem solving with computer programming. Students will study some historical context for problem solving with programming while mastering introductory programming skills including but not limited to user interaction design, procedures, functions, scope, alternation, repetition, collections, and real-world modeling",
,,Applied Mathematics,PHYS,211,L,General Physics I,3,1,A study based on calculus and vector algebra of classical mechanics and sound. Two lectures and one problem session per week. Offered every fall. Pre- or Corequisite: MATH 241,
,,Applied Mathematics,PHYS,213,L,Physics Lab I,1,1,"Taken simultaneously with the corresponding lecture course in physics. The lab may or may not be required, depending on the student’s major or program of study (e.g., pre-med, etc.). One credit is assigned to each semester of the laboratory. Three-hour laboratory per week. Corequisites: PHYS 211-212-221",
,,Applied Mathematics,PHYS,212,L,General Physics II,3,1,"This course continues the first-level survey of physics with a thorough study of electricity and magnetism, optics, and some aspects of modern physics. An attempt is made to focus on the nature of scientific inquiry and thought. Two lectures and one problem session per week. Offered every spring. Pre- or Corequisite: MATH 241",
,,Applied Mathematics,PHYS,214,L,Physics Lab II,1,1,"Taken simultaneously with the corresponding lecture course in physics. The lab may or may not be required, depending on the student’s major or program of study (e.g., pre-med, etc.). One credit is assigned to each semester of the laboratory. Three-hour laboratory per week. Corequisites: PHYS 211-212-221",
,,Applied Mathematics,PHYS,221,L,Modern Physics I,3,1,The course begins with the Kinetic Theory of Gases and moves forward through Quantum Mechanics and Relativity. This course provides an introduction to physics in the 20th century. Prerequisite: MATH 241,
,,Applied Mathematics,PHYS,222,L,Modern Physics Lab,1,1,"Taken simultaneously with the corresponding lecture course in physics. The lab may or may not be required, depending on the student’s major or program of study (e.g., pre-med, etc.). One credit is assigned to each semester of the laboratory. Three-hour laboratory per week. Corequisites: PHYS 211-212-221",
